牡蠣原始編號 Oyster Original Number,右殼長 Right Shell Length,左殼長 Left Shell Length,殼寬 Shell Width,殼高 Shell Height,面積 Area,體積 Volume,總重量 Total Weight,殼重 Shell Weight,肉重占總重量百分比(%) The proportion of Meat Weight in Total Weight(%),雜質重 Impurity Weight,肉重 Meat Weight,準確值 Accurate value,預測值 Predicted value,誤差值 Error value
84.0,7.8,9.0,4.5,2.5,40.5,101.25,43.8,28.2,0.2831050228310502,3.199999999999996,12.4,12.4,10.709858894348145,1.6901411056518558
10.0,8.4,8.4,4.4,1.8,36.96000000000001,66.52800000000002,31.8,23.3,0.2515723270440251,0.5,8.0,8.0,8.386664390563965,-0.38666439056396484
104.0,7.4,8.2,4.4,2.1,36.08,75.768,34.0,23.8,0.2558823529411764,1.5,8.7,8.7,8.718430519104004,-0.018430519104004617
127.0,6.9,7.5,4.6,2.3,34.5,79.35,30.6,20.8,0.2973856209150327,0.7000000000000028,9.1,9.1,7.641965866088867,1.4580341339111325
124.0,6.0,6.0,3.9,2.4,23.4,56.16,28.8,19.6,0.28125,1.099999999999998,8.1,8.1,8.36838150024414,-0.268381500244141
68.0,8.5,9.6,5.0,2.1,48.0,100.8,44.7,34.5,0.2102908277404921,0.8000000000000043,9.4,9.4,11.463455200195312,-2.063455200195312
65.0,7.3,8.1,4.7,1.7,38.07,64.719,23.9,16.5,0.2510460251046025,1.3999999999999986,6.0,6.0,6.266308784484863,-0.2663087844848633
118.0,7.1,7.7,3.2,3.5,24.64,86.24000000000001,44.3,30.6,0.2460496613995485,2.799999999999997,10.9,10.9,11.410459518432617,-0.5104595184326168
48.0,7.4,8.6,4.7,2.0,40.42,80.84,43.8,29.5,0.3127853881278539,0.5999999999999943,13.7,13.7,11.476743698120117,2.223256301879882
Standard deviation of the train difference:,1.200687729559627
